algorithm,benchmark,seed,evaluations,best_value,best_candidate
hill_climbing,sphere,100,20000,11.225578019459125,"[0.07268312112694217, -1.0227669234001442, -0.27771601960800885, -1.1517547410441356, 0.9753934247063718, -0.4466889054503277, 1.6235982746968314, 1.1432161599243609, 1.8257878937905463, -0.5857802851417335]"
hill_climbing,sphere,101,20000,12.015690112250837,"[1.2029091042283142, -0.529358190039743, 1.1576964855201755, -0.6409113650600773, -0.5673555065079393, -1.6070152591626083, 0.87639209561322, -0.7842508856440839, 0.0436717228590851, 2.0610776514225986]"
hill_climbing,sphere,102,20000,11.6475532015092,"[-0.31207452934903246, 2.1126328334760367, -0.0037890534686914634, 1.1051203310792779, -0.2094653339244701, 1.7599949538057922, -0.6865118428308529, -0.38699919152443957, 1.3619879335459462, -0.4981003093941513]"
hill_climbing,sphere,103,20000,11.731373233464959,"[-0.9690370322999118, -0.3803623970573484, -0.6200589763714985, 0.7200126322926701, 1.0553276314100177, -0.2507976862068769, -0.8058659340407228, -0.11809589221002922, 2.749276565797728, -0.58844669927554]"
hill_climbing,sphere,104,20000,18.842399269691313,"[-1.8208295924729339, -0.5394747792397504, -0.2656449276651688, -0.2728081087779708, 0.06665044890963373, 0.49316518203972237, 1.0331377662496402, 2.832356700655705, -2.3711023187647005, 0.36270625394815736]"
hill_climbing,sphere,105,20000,13.327179568409088,"[0.8268420370849344, 0.6187015584820188, -1.3677418194941653, 0.08170812717025569, 1.2283286675999228, 0.6622354033955798, -1.4170022004727547, -0.9360402216762157, -0.3361401224162694, 2.332149766420404]"
hill_climbing,sphere,106,20000,17.326369928412145,"[1.0023126111726401, -0.27929232264985443, 0.5228253702759241, 0.5132117439456784, -1.4520149658012758, -1.8041399102270999, 0.8194683604994566, 1.7020343379109772, -2.275923737843848, -1.2631136433921495]"
hill_climbing,sphere,107,20000,9.360656591351212,"[0.35819345031401667, -1.2602863568532223, -0.6845391112965729, -2.483598654824939, 0.24729454287574298, -0.32713027124865335, 0.47173728035201407, 0.405963923615825, 0.6371565052142796, 0.2137668886856716]"
hill_climbing,sphere,108,20000,11.228764790499445,"[-0.7131112083565306, -2.3005823089473645, -1.5725988739911465, -0.4396762076848103, 1.312564313434797, 0.46709833082407165, -0.4250766590111633, -0.733952810429173, -0.16747423768716685, -0.2697135644878869]"
hill_climbing,sphere,109,20000,12.525791531851196,"[1.5213482414344868, 0.6565801106902837, 0.7580332641912151, 1.5857647994524997, -0.5301384264931187, 0.4262781816449126, -0.3095963051181332, -0.8113004873712055, -2.268989208677665, 0.5707880238231746]"
hill_climbing,sphere,110,20000,9.04334241910406,"[-0.40572405437845904, -0.44985939648696316, -0.48877895969217644, -0.4160612792576638, -0.39136112734160877, 0.0906147434944139, 1.2339680423503558, -2.1218086170742696, 0.27921309768114233, 1.4143060559786609]"
hill_climbing,sphere,111,20000,21.24001656746766,"[1.5225132663198486, 0.12663084260215215, 0.5627027438334108, 1.5553305340846646, 2.527856980225041, -2.243243987646997, -1.3715382835102616, -1.1199353639225478, -0.8458138910203081, -0.9472428313518537]"
hill_climbing,sphere,112,20000,17.317682953096394,"[0.8276544236865675, 0.49600434884135214, -0.8754277211308886, -1.4098344043481472, -0.4190060954242688, -0.032324064498403686, -0.10430030641882354, -1.1548076641712408, -2.869558265673015, 1.9690630165087124]"
hill_climbing,sphere,113,20000,11.880100343036542,"[0.5675803062158957, 1.0238555807358785, -0.17226969708764955, 1.3384737942068319, 1.0287108030680678, 1.363918208907403, 0.10668441014923928, -0.37844651529516, -0.5347837387459242, -2.308542390783017]"
hill_climbing,sphere,114,20000,16.793752769920413,"[1.3868220660657777, 0.4733242921623059, 1.800512843678297, 2.9584022666159946, 0.015129121026906205, 0.4373032721846255, -0.1873946956221664, 0.33264941897427436, -1.178730304798578, -0.9621904118027419]"
hill_climbing,sphere,115,20000,14.46479473288155,"[-1.767227652704404, 1.7544993862117906, -0.37056473353055824, 2.0398361745198077, -0.1448853637645584, -0.9423673618763166, -0.9073732134343584, -0.7516523025770766, -0.12153972001660009, 1.285712242390365]"
hill_climbing,sphere,116,20000,12.329429592379721,"[-0.4459157905421091, -1.7657401556855064, 1.8403637578306247, -0.7764167113392557, 0.8128949225628276, 0.7209631922108929, 1.6712326026059499, 0.26220942857347723, 0.16369845491940738, -0.9766438817199924]"
hill_climbing,sphere,117,20000,19.751840188227447,"[-1.8856452225929061, -0.5944253205467867, 1.0035499442981919, -0.20205780425274975, 1.1924181259125346, -1.4039874482249988, -1.1903047681365388, -0.23540317025902488, -1.6589196282760723, 2.679105224808872]"
hill_climbing,sphere,118,20000,11.020364303564373,"[-0.02105518943127114, 0.7136307084060972, -1.1227350832657081, 0.5561909043819292, 0.21300537428238353, 1.2465290889216483, 1.424608853283519, -1.7122673963953903, -0.14389417071718327, -1.536062561320184]"
hill_climbing,sphere,119,20000,17.374912486235868,"[1.0581103163143262, 0.2928136490971846, -0.8851381427593479, -2.092898336659929, 1.4162703420519724, 2.3920638332567754, 1.026464489027068, -1.251632595316669, -0.17118067926616626, 0.792827120050906]"
